id,name
0,Thriller
1,Crime
2,Action
3,Romance
4,Sci-Fi
5,Adventure
6,Animation
7,War
8,History
9,Documentary
10,Western
11,Biography
12,Musical
13,News
14,Drama
15,Mystery
16,Horror
17,Short
18,Comedy
19,Fantasy
20,Family
21,Talk-Show
22,Reality-TV
23,Game-Show
24,Music
25,Sport
26,Film-Noir
