movie_id,director_id
tt0053125,0
tt0052357,0
tt0054215,0
tt0084787,1
tt0795421,2
tt1131734,3
tt0989757,4
tt0110912,5
tt0080979,6
tt0089881,6
tt0056058,7
tt0058279,7
tt0058430,8
tt2334873,9
tt0457513,9
tt0063522,10
tt0071315,10
tt1605783,9
tt0338751,11
tt0088680,11
tt0070379,11
tt0099685,11
tt1302006,11
tt0113277,12
tt0369339,12
tt0112641,11
tt0252076,13
tt0088847,14
tt0098554,14
tt0093748,14
tt0088128,14
tt0120176,15
tt0057413,16
tt0122690,17
tt0078748,18
