movie_id,genre_id
53125,2
53125,5
53125,15
52357,15
52357,3
52357,0
54215,15
54215,16
54215,0
84787,16
84787,15
84787,4
795421,18
795421,12
795421,3
1131734,16
1131734,18
989757,14
989757,15
989757,3
110912,1
110912,14
80979,14
80979,7
80979,8
89881,14
89881,7
89881,2
56058,2
56058,14
56058,15
58279,14
58279,19
58279,16
58430,14
58430,16
58430,0
2334873,18
2334873,14
457513,18
457513,1
457513,19
63522,14
63522,16
71315,14
71315,15
71315,0
1605783,18
1605783,19
1605783,3
338751,11
338751,14
88680,18
88680,1
88680,14
70379,1
70379,14
70379,0
99685,11
99685,1
99685,14
1302006,11
1302006,1
1302006,14
113277,2
113277,1
113277,14
369339,1
369339,2
369339,14
112641,1
112641,14
252076,18
252076,14
252076,3
88847,14
88847,18
98554,18
93748,14
93748,18
88128,18
88128,3
120176,14
120176,15
120176,0
57413,18
57413,1
57413,3
122690,2
122690,1
122690,0
78748,16
78748,4
